expression,side,n_sequences,AB_n,AC_n,CB_n,primary_eligible,A_before_B_percent,A_before_C_percent,C_before_B_percent,median_A_distance,median_C_distance,median_B_distance,median_A_B_lead,mean_A_B_lead,positive_lead_percent
Insanity Lunatic,left,2,2,2,2,False,100.0,50.0,100.0,7.0,9.5,12.0,5.0,5.0,100.0
Insanity Lunatic,right,2,2,2,2,False,100.0,100.0,50.0,2.0,28.5,31.0,29.0,29.0,100.0
Joy,left,10,10,10,10,True,100.0,90.0,80.0,9.0,21.0,31.5,25.5,27.0,100.0
Joy,right,10,10,10,10,True,90.0,90.0,80.0,10.0,21.0,23.0,14.5,17.5,90.0
Judgemental,left,10,10,10,10,True,100.0,80.0,60.0,8.0,13.0,15.5,6.5,7.6,100.0
Judgemental,right,10,10,10,10,True,90.0,80.0,90.0,9.0,15.5,18.5,10.0,11.4,90.0
Nervous,left,2,2,2,2,False,100.0,100.0,100.0,7.5,12.5,16.5,9.0,9.0,100.0
Nervous,right,2,2,2,2,False,100.0,50.0,50.0,9.5,11.5,12.5,3.0,3.0,100.0
Pain,left,10,10,10,10,True,100.0,100.0,40.0,7.5,20.5,21.0,12.5,23.7,100.0
Pain,right,10,10,10,10,True,100.0,100.0,40.0,10.0,28.5,33.5,22.5,24.4,100.0
Pain Illness,left,2,2,2,2,False,100.0,100.0,0.0,8.5,31.5,31.5,23.0,23.0,100.0
Pain Illness,right,2,2,2,2,False,100.0,100.0,50.0,2.0,47.0,50.5,48.5,48.5,100.0
Playful,left,10,10,10,10,True,100.0,80.0,80.0,7.5,11.5,12.0,6.0,6.4,100.0
Playful,right,10,10,10,10,True,100.0,80.0,60.0,7.0,14.0,18.0,7.5,10.4,100.0
Pleasure Oo So Funny,left,2,2,2,2,False,100.0,50.0,100.0,7.5,7.5,15.0,7.5,7.5,100.0
Pleasure Oo So Funny,right,2,2,2,2,False,100.0,100.0,100.0,3.5,10.0,12.5,9.0,9.0,100.0
Romantic,left,10,10,10,10,True,100.0,60.0,80.0,8.5,10.0,11.5,3.0,5.5,100.0
Romantic,right,10,10,10,10,True,70.0,60.0,90.0,9.0,8.5,10.0,3.0,6.8,70.0
S Wink,left,2,2,2,2,False,100.0,100.0,100.0,12.0,59.0,61.0,49.0,49.0,100.0
S Wink,right,2,2,2,2,False,100.0,100.0,0.0,11.5,47.0,47.0,35.5,35.5,100.0
Sad,left,10,10,10,10,True,80.0,40.0,90.0,8.0,9.5,11.5,3.0,7.3,80.0
Sad,right,10,10,10,10,True,100.0,60.0,80.0,9.5,10.0,11.5,3.0,10.0,100.0
Scream,left,2,2,2,2,False,100.0,100.0,0.0,7.5,10.5,10.5,3.0,3.0,100.0
Scream,right,2,2,2,2,False,100.0,100.0,50.0,9.5,22.0,23.0,13.5,13.5,100.0
Seriousness,left,10,10,10,10,True,80.0,60.0,90.0,7.5,11.0,15.5,7.0,6.5,80.0
Seriousness,right,10,10,10,10,True,70.0,40.0,100.0,8.0,4.5,11.0,2.5,1.9,70.0
Silly,left,10,10,10,10,True,100.0,100.0,50.0,8.5,23.5,27.5,17.5,18.2,100.0
Silly,right,10,10,10,10,True,100.0,100.0,50.0,9.5,26.0,33.0,21.0,25.7,100.0
Sleepy,left,12,12,12,12,True,91.66666666666666,91.66666666666666,75.0,9.0,17.0,18.5,9.0,21.916666666666668,91.66666666666666
Sleepy,right,12,12,12,12,True,100.0,91.66666666666666,58.333333333333336,9.5,20.5,23.0,12.0,20.833333333333332,100.0
Straining,left,1,1,1,1,False,100.0,0.0,100.0,6.0,5.0,12.0,6.0,6.0,100.0
Straining,right,1,1,1,1,False,100.0,100.0,0.0,1.0,12.0,12.0,11.0,11.0,100.0
Subtle,left,9,9,9,9,True,77.77777777777779,22.22222222222222,100.0,7.0,7.0,9.0,2.0,2.0,77.77777777777779
Subtle,right,9,9,9,9,True,77.77777777777779,44.44444444444444,77.77777777777779,9.0,9.0,10.0,1.0,1.3333333333333333,77.77777777777779
Talking,left,10,10,10,10,True,100.0,100.0,70.0,8.0,11.0,13.0,5.5,9.3,100.0
Talking,right,10,10,10,10,True,100.0,100.0,40.0,10.5,18.0,18.0,8.0,9.6,100.0
Terror,left,2,2,2,2,False,100.0,100.0,100.0,6.5,25.0,29.5,23.0,23.0,100.0
Terror,right,2,2,2,2,False,100.0,100.0,50.0,7.0,29.0,31.5,24.5,24.5,100.0
Terror Phobia,left,2,2,2,2,False,100.0,100.0,0.0,8.5,19.0,19.0,10.5,10.5,100.0
Terror Phobia,right,2,2,2,2,False,100.0,100.0,50.0,6.0,21.5,22.0,16.0,16.0,100.0
Ulgh,left,2,2,2,2,False,100.0,100.0,50.0,6.0,16.0,40.5,34.5,34.5,100.0
Ulgh,right,2,2,2,2,False,100.0,100.0,50.0,8.0,42.0,42.5,34.5,34.5,100.0
Wicked,left,10,10,10,10,True,80.0,80.0,80.0,7.0,16.0,17.5,11.5,11.0,80.0
Wicked,right,10,10,10,10,True,90.0,80.0,100.0,8.0,23.5,27.5,16.5,13.8,90.0
Wink,left,2,2,2,2,False,100.0,100.0,50.0,8.0,63.5,68.0,60.0,60.0,100.0
Wink,right,2,2,2,2,False,100.0,100.0,50.0,10.5,24.0,25.0,14.5,14.5,100.0
With Forehead Wrinkles Angry,left,10,10,10,10,True,100.0,60.0,80.0,7.0,10.5,17.5,10.5,13.4,100.0
With Forehead Wrinkles Angry,right,10,10,10,10,True,90.0,70.0,50.0,8.5,14.5,17.5,9.0,10.9,90.0
ZMouth Open Horizontal,left,2,2,2,2,False,100.0,100.0,100.0,8.0,11.5,12.5,4.5,4.5,100.0
ZMouth Open Horizontal,right,2,2,2,2,False,100.0,100.0,100.0,10.0,13.0,16.0,6.0,6.0,100.0
ZMouth Open Horizontal And Vertical,left,2,2,2,2,False,100.0,100.0,100.0,10.5,27.5,29.5,19.0,19.0,100.0
ZMouth Open Horizontal And Vertical,right,2,2,2,2,False,100.0,100.0,100.0,10.0,23.0,25.5,15.5,15.5,100.0
ZZ_Bearded,left,1,1,1,1,False,100.0,100.0,100.0,5.0,14.0,31.0,26.0,26.0,100.0
ZZ_Bearded,right,1,1,1,1,False,100.0,100.0,0.0,6.0,21.0,21.0,15.0,15.0,100.0
ZZ_Cavalier,left,1,1,1,1,False,100.0,100.0,100.0,6.0,30.0,57.0,51.0,51.0,100.0
ZZ_Cavalier,right,1,1,1,1,False,100.0,100.0,100.0,8.0,36.0,56.0,48.0,48.0,100.0
ZZ_Dapper,left,1,1,1,1,False,100.0,100.0,0.0,6.0,18.0,18.0,12.0,12.0,100.0
ZZ_Dapper,right,1,1,1,1,False,100.0,100.0,100.0,7.0,18.0,19.0,12.0,12.0,100.0
ZZ_Flynn,left,1,1,1,1,False,100.0,100.0,0.0,6.0,21.0,21.0,15.0,15.0,100.0
ZZ_Flynn,right,1,1,1,1,False,100.0,100.0,100.0,8.0,17.0,19.0,11.0,11.0,100.0
ZZ_Franz Josef,left,1,1,1,1,False,100.0,100.0,100.0,6.0,10.0,13.0,7.0,7.0,100.0
ZZ_Franz Josef,right,1,1,1,1,False,100.0,100.0,100.0,6.0,8.0,11.0,5.0,5.0,100.0
ZZ_Friendly Mutton Chops,left,1,1,1,1,False,100.0,100.0,100.0,6.0,26.0,34.0,28.0,28.0,100.0
ZZ_Friendly Mutton Chops,right,1,1,1,1,False,100.0,100.0,100.0,6.0,22.0,23.0,17.0,17.0,100.0
ZZ_Fu Manchu,left,1,1,1,1,False,100.0,100.0,0.0,6.0,15.0,15.0,9.0,9.0,100.0
ZZ_Fu Manchu,right,1,1,1,1,False,100.0,100.0,0.0,8.0,13.0,13.0,5.0,5.0,100.0
ZZ_Fu Manchu Goatee,left,1,1,1,1,False,100.0,100.0,100.0,6.0,21.0,22.0,16.0,16.0,100.0
ZZ_Fu Manchu Goatee,right,1,1,1,1,False,100.0,100.0,0.0,7.0,27.0,27.0,20.0,20.0,100.0
