expression,folder,A_left,C_left,B_left,A_right,C_right,B_right,A_distance_left,A_distance_right,C_distance_left,C_distance_right,B_distance_left,B_distance_right,AB_lead_left,AC_lead_left,CB_lead_left,AB_lead_right,AC_lead_right,CB_lead_right
Happy Perky,Female_Happy Perky,99.0,83.0,83.0,108.0,131.0,131.0,8.0,1.0,24.0,24.0,24.0,24.0,16.0,16.0,0.0,23.0,23.0,0.0
Happy So Peaceful,Female_Happy So Peaceful,96.0,59.0,59.0,115.0,152.0,155.0,11.0,8.0,48.0,45.0,48.0,48.0,37.0,37.0,0.0,40.0,37.0,3.0
Humiliated,Female_Humiliated,98.0,95.0,86.0,114.0,138.0,138.0,9.0,7.0,12.0,31.0,21.0,31.0,12.0,3.0,9.0,24.0,24.0,0.0
Insanity Deranged,Female_Insanity Deranged,99.0,65.0,64.0,112.0,184.0,191.0,8.0,5.0,42.0,77.0,43.0,84.0,35.0,34.0,1.0,79.0,72.0,7.0
Insanity Go Cuckoo,Female_Insanity Go Cuckoo,98.0,86.0,86.0,118.0,132.0,132.0,9.0,11.0,21.0,25.0,21.0,25.0,12.0,12.0,0.0,14.0,14.0,0.0
Insanity Going Crazy,Female_Insanity Going Crazy,95.0,83.0,83.0,118.0,133.0,136.0,12.0,11.0,24.0,26.0,24.0,29.0,12.0,12.0,0.0,18.0,15.0,3.0
Insanity Hostile,Female_Insanity Hostile,98.0,67.0,51.0,114.0,162.0,174.0,9.0,7.0,40.0,55.0,56.0,67.0,47.0,31.0,16.0,60.0,48.0,12.0
Insanity Lunatic,Female_Insanity Lunatic,99.0,94.0,92.0,110.0,128.0,128.0,8.0,3.0,13.0,21.0,15.0,21.0,7.0,5.0,2.0,18.0,18.0,0.0
Joy,Female_Joy 01,98.0,96.0,93.0,116.0,114.0,115.0,9.0,9.0,11.0,7.0,14.0,8.0,5.0,2.0,3.0,-1.0,-2.0,1.0
Joy,Female_Joy 02,97.0,82.0,67.0,117.0,146.0,146.0,10.0,10.0,25.0,39.0,40.0,39.0,30.0,15.0,15.0,29.0,29.0,0.0
Joy,Female_Joy 03,95.0,59.0,59.0,120.0,157.0,162.0,12.0,13.0,48.0,50.0,48.0,55.0,36.0,36.0,0.0,42.0,37.0,5.0
Joy,Female_Joy 04,98.0,98.0,96.0,118.0,131.0,132.0,9.0,11.0,9.0,24.0,11.0,25.0,2.0,0.0,2.0,14.0,13.0,1.0
Joy,Female_Joy 05,96.0,48.0,39.0,120.0,129.0,142.0,11.0,13.0,59.0,22.0,68.0,35.0,57.0,48.0,9.0,22.0,9.0,13.0
Judgemental,Female_Judgemental 01,97.0,92.0,92.0,115.0,118.0,124.0,10.0,8.0,15.0,11.0,15.0,17.0,5.0,5.0,0.0,9.0,3.0,6.0
Judgemental,Female_Judgemental 02,100.0,99.0,95.0,117.0,113.0,119.0,7.0,10.0,8.0,6.0,12.0,12.0,5.0,1.0,4.0,2.0,-4.0,6.0
Judgemental,Female_Judgemental 03,99.0,85.0,82.0,117.0,119.0,120.0,8.0,10.0,22.0,12.0,25.0,13.0,17.0,14.0,3.0,3.0,2.0,1.0
Judgemental,Female_Judgemental 04,97.0,87.0,87.0,119.0,136.0,146.0,10.0,12.0,20.0,29.0,20.0,39.0,10.0,10.0,0.0,27.0,17.0,10.0
Judgemental,Female_Judgemental 05,98.0,98.0,93.0,112.0,131.0,136.0,9.0,5.0,9.0,24.0,14.0,29.0,5.0,0.0,5.0,24.0,19.0,5.0
Nervous,Female_Nervous,98.0,95.0,89.0,118.0,118.0,120.0,9.0,11.0,12.0,11.0,18.0,13.0,9.0,3.0,6.0,2.0,0.0,2.0
Pain,Female_Pain 01,98.0,86.0,86.0,118.0,141.0,141.0,9.0,11.0,21.0,34.0,21.0,34.0,12.0,12.0,0.0,23.0,23.0,0.0
Pain,Female_Pain 02,97.0,50.0,22.0,118.0,152.0,178.0,10.0,11.0,57.0,45.0,85.0,71.0,75.0,47.0,28.0,60.0,34.0,26.0
Pain,Female_Pain 03,99.0,98.0,92.0,117.0,127.0,127.0,8.0,10.0,9.0,20.0,15.0,20.0,7.0,1.0,6.0,10.0,10.0,0.0
Pain,Female_Pain 04,98.0,88.0,72.0,118.0,149.0,149.0,9.0,11.0,19.0,42.0,35.0,42.0,26.0,10.0,16.0,31.0,31.0,0.0
Pain,Female_Pain 05,98.0,86.0,86.0,120.0,135.0,142.0,9.0,13.0,21.0,28.0,21.0,35.0,12.0,12.0,0.0,22.0,15.0,7.0
Pain Illness,Female_Pain Illness,97.0,63.0,63.0,110.0,156.0,163.0,10.0,3.0,44.0,49.0,44.0,56.0,34.0,34.0,0.0,53.0,46.0,7.0
Playful,Female_Playful 01,97.0,93.0,86.0,116.0,130.0,130.0,10.0,9.0,14.0,23.0,21.0,23.0,11.0,4.0,7.0,14.0,14.0,0.0
Playful,Female_Playful 02,100.0,90.0,86.0,116.0,132.0,132.0,7.0,9.0,17.0,25.0,21.0,25.0,14.0,10.0,4.0,16.0,16.0,0.0
Playful,Female_Playful 03,99.0,100.0,98.0,119.0,123.0,127.0,8.0,12.0,7.0,16.0,9.0,20.0,1.0,-1.0,2.0,8.0,4.0,4.0
