abs_angle,A_mean,A_ci_low,A_ci_high,B_mean,B_ci_low,B_ci_high,C_mean,C_ci_low,C_ci_high
58,47.269371032714844,46.832740783691406,47.71371841430664,0.11241217702627182,0.08430913090705872,0.14051522314548492,-0.028065985068678856,-0.030301976948976517,-0.02586289681494236
59,47.75471115112305,47.2237548828125,48.236244201660156,0.10304449498653412,0.07962529361248016,0.13114753365516663,-0.029381316155195236,-0.03146803379058838,-0.02726631984114647
60,47.91002655029297,47.48212432861328,48.3264274597168,0.0995316132903099,0.07549765706062317,0.12295082211494446,-0.029148243367671967,-0.03130039945244789,-0.02690105326473713
61,48.04579544067383,47.60673904418945,48.455013275146484,0.10304449498653412,0.07845433056354523,0.12997658550739288,-0.02933214046061039,-0.03142533823847771,-0.02700941264629364
62,48.18970489501953,47.76200485229492,48.59901428222656,0.10421545803546906,0.07962529361248016,0.13114753365516663,-0.028774181380867958,-0.03098372370004654,-0.026632342487573624
63,48.43680191040039,48.02957534790039,48.85930252075195,0.08899297565221786,0.06323184818029404,0.11358314007520676,-0.02964034490287304,-0.03186555206775665,-0.02743328921496868
64,48.810462951660156,48.38888168334961,49.20783233642578,0.08665105700492859,0.06323184818029404,0.11364168673753738,-0.029934095218777657,-0.03219287469983101,-0.027433225885033607
65,49.07001876831055,48.61137771606445,49.486289978027344,0.07611241191625595,0.05442037433385849,0.09897541254758835,-0.03045031614601612,-0.032741013914346695,-0.028337877243757248
66,49.3637809753418,48.93207931518555,49.78290557861328,0.0807962492108345,0.056762292981147766,0.1053864136338234,-0.03200555220246315,-0.03428633138537407,-0.029795413836836815
67,49.55665588378906,49.131378173828125,50.00236511230469,0.07962529361248016,0.05503512918949127,0.10304449498653412,-0.032755203545093536,-0.035131726413965225,-0.030311530455946922
68,49.6782341003418,49.1765022277832,50.09915542602539,0.07494144886732101,0.05620608851313591,0.09718969464302063,-0.034142281860113144,-0.036481957882642746,-0.03179347142577171
69,49.88270568847656,49.479183197021484,50.28859329223633,0.06791569292545319,0.048009369522333145,0.08899297565221786,-0.0361117348074913,-0.038354188203811646,-0.03366813808679581
70,50.38764190673828,49.96652603149414,50.84176254272461,0.06088992953300476,0.04215456545352936,0.0807962492108345,-0.038160540163517,-0.04072445631027222,-0.03575180470943451
71,50.70270919799805,50.23794174194336,51.13636779785156,0.053864169865846634,0.03629976511001587,0.07494144886732101,-0.03877599537372589,-0.041281696408987045,-0.03617876395583153
72,51.33389663696289,50.8594856262207,51.80331802368164,0.05503512918949127,0.03629976511001587,0.07494144886732101,-0.04156731814146042,-0.044409170746803284,-0.03884531185030937
73,51.73271942138672,51.27949905395508,52.19468688964844,0.05152224749326706,0.03334309160709381,0.07025761157274246,-0.04272701218724251,-0.04509993642568588,-0.040146008133888245
74,52.13975524902344,51.71379852294922,52.559967041015625,0.048009369522333145,0.03161592409014702,0.06557376682758331,-0.04387299343943596,-0.046411123126745224,-0.041242022067308426
75,52.425506591796875,52.02542495727539,52.87629318237305,0.05035128816962242,0.032786883413791656,0.06970140337944031,-0.044100742787122726,-0.047393862158060074,-0.041127949953079224
76,52.745418548583984,52.338504791259766,53.136348724365234,0.04566744714975357,0.03044496476650238,0.06267563998699188,-0.04639666527509689,-0.04945720359683037,-0.04339837655425072
77,53.14746856689453,52.756370544433594,53.531734466552734,0.04683840647339821,0.029830211773514748,0.0661885216832161,-0.048188842833042145,-0.05120676010847092,-0.044837553054094315
78,53.183815002441406,52.76701354980469,53.564640045166016,0.04683840647339821,0.029274005442857742,0.06440281122922897,-0.04876555874943733,-0.05200154706835747,-0.045513976365327835
79,53.55856704711914,53.1751708984375,53.89399719238281,0.04566744714975357,0.02865925058722496,0.06557376682758331,-0.05036791414022446,-0.0534176267683506,-0.047442711889743805
80,53.77621078491211,53.49858856201172,54.132022857666016,0.04683840647339821,0.029274005442857742,0.06440281122922897,-0.052454669028520584,-0.05556719750165939,-0.04961162433028221
81,54.50154495239258,54.1495246887207,54.865882873535156,0.03981264680624008,0.02459016442298889,0.05620608851313591,-0.05512941628694534,-0.058228749781847,-0.05216607078909874
82,55.2791748046875,54.88463592529297,55.672218322753906,0.032786883413791656,0.018735362216830254,0.048009369522333145,-0.05959663167595863,-0.06272409856319427,-0.05667251721024513
83,55.67842102050781,55.253360748291016,56.031517028808594,0.029274005442857742,0.017564402893185616,0.043325528502464294,-0.06371552497148514,-0.06751471757888794,-0.060188233852386475
84,55.937957763671875,55.58440017700195,56.28921890258789,0.03161592409014702,0.018735362216830254,0.04683840647339821,-0.06628882884979248,-0.07023906707763672,-0.06239921227097511
85,56.32683181762695,55.9575309753418,56.70169448852539,0.02459016442298889,0.014051522128283978,0.03512880578637123,-0.06918253749608994,-0.0729423314332962,-0.06506809592247009
86,56.714332580566406,56.33902359008789,57.06110382080078,0.023419203236699104,0.012880561873316765,0.03629976511001587,-0.07043009251356125,-0.07446610182523727,-0.06666071712970734
87,57.057518005371094,56.72971725463867,57.36017990112305,0.026932084932923317,0.014051522128283978,0.04098360612988472,-0.07312195748090744,-0.07722567766904831,-0.06889565289020538
88,57.36925506591797,57.04299545288086,57.6771354675293,0.02107728272676468,0.011709601618349552,0.0322306789457798,-0.07500839978456497,-0.07911496609449387,-0.07089812308549881
89,57.682395935058594,57.345062255859375,57.969207763671875,0.017564402893185616,0.008196720853447914,0.03044496476650238,-0.07764798402786255,-0.08160053193569183,-0.07314737141132355
90,57.85149002075195,57.538875579833984,58.11833953857422,0.018735362216830254,0.008196720853447914,0.0322306789457798,-0.08078194409608841,-0.08514221757650375,-0.07656262814998627
91,57.9412727355957,57.63950729370117,58.242408752441406,0.018735362216830254,0.008196720853447914,0.03161592409014702,-0.08316469192504883,-0.08696962893009186,-0.07925382256507874
92,58.267757415771484,57.946311950683594,58.61588668823242,0.012880561873316765,0.004683840554207563,0.0228629969060421,-0.08665505051612854,-0.09133107960224152,-0.08241210132837296
93,59.25333786010742,58.94672775268555,59.5936393737793,0.01053864136338234,0.0035128805320709944,0.01990632340312004,-0.09359157085418701,-0.09795797616243362,-0.08921781182289124
94,59.31464385986328,58.93830871582031,59.655845642089844,0.01522248238325119,0.004683840554207563,0.029274005442857742,-0.10071351379156113,-0.10563995689153671,-0.09588266164064407
95,59.59733200073242,59.240501403808594,59.968360900878906,0.011709601618349552,0.0023419202771037817,0.02107728272676468,-0.1053202748298645,-0.10989367961883545,-0.10059171915054321
96,59.95307922363281,59.62470245361328,60.28131103515625,0.012880561873316765,0.0035128805320709944,0.02459016442298889,-0.11074025183916092,-0.11573155224323273,-0.10603751987218857
97,60.46022415161133,60.132965087890625,60.82908248901367,0.011709601618349552,0.0023419202771037817,0.023419203236699104,-0.11717216670513153,-0.12194419652223587,-0.1121555045247078
98,60.77487564086914,60.466400146484375,61.13520050048828,0.011709601618349552,0.0023419202771037817,0.023419203236699104,-0.12309045344591141,-0.12779055535793304,-0.11879809200763702
99,61.126380920410156,60.765541076660156,61.458011627197266,0.009367681108415127,0.0023419202771037817,0.018735362216830254,-0.12846553325653076,-0.1331486999988556,-0.12388694286346436
100,61.2595100402832,60.928470611572266,61.58763122558594,0.009367681108415127,0.0023419202771037817,0.018735362216830254,-0.13284361362457275,-0.13783997297286987,-0.12824535369873047
101,61.24357986450195,60.962493896484375,61.59599304199219,0.009367681108415127,0.0023419202771037817,0.018735362216830254,-0.1392700970172882,-0.14400875568389893,-0.1353658139705658
102,61.540809631347656,61.211952209472656,61.89007568359375,0.009367681108415127,0.0023419202771037817,0.018735362216830254,-0.14511258900165558,-0.14901891350746155,-0.14099453389644623
103,62.05047607421875,61.710853576660156,62.40065383911133,0.009367681108415127,0.0023419202771037817,0.018735362216830254,-0.153253436088562,-0.15759029984474182,-0.14921222627162933
104,62.271263122558594,61.95294952392578,62.58647918701172,0.008196720853447914,0.0011709601385518909,0.017564402893185616,-0.15894730389118195,-0.16327360272407532,-0.15443000197410583
105,62.67111587524414,62.319862365722656,63.02627944946289,0.005854800809174776,0.0,0.012880561873316765,-0.162307009100914,-0.1664600670337677,-0.15795277059078217
106,62.973182678222656,62.633968353271484,63.30607604980469,0.008196720853447914,0.0011709601385518909,0.016393441706895828,-0.16526684165000916,-0.16924798488616943,-0.16052749752998352
107,63.155025482177734,62.84684753417969,63.47327423095703,0.009367681108415127,0.0023419202771037817,0.017564402893185616,-0.1676289141178131,-0.17204807698726654,-0.16294939815998077
