folder,gender,expression,A_left_angle,A_left_abs_angle,A_right_angle,A_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_left_integrated_drift_deg,A_right_integrated_drift_deg,A_left_integrated_1_minus_cos,A_right_integrated_1_minus_cos,B_left_consistency_AUC,B_right_consistency_AUC,C_left_margin_AUC,C_right_margin_AUC,A_leads_B_left,C_leads_B_left,B_minus_A_left,B_minus_C_left,A_leads_B_right,C_leads_B_right,B_minus_A_right,B_minus_C_right
Female_Expressions Contempt 02,Female,Expressions Contempt,-10.0,10.0,20.0,20.0,-10.0,10.0,43.0,43.0,-9.0,9.0,41.0,41.0,-10.0,10.0,43.0,43.0,38.36905026658673,39.67629047253421,0.24048608040141167,0.2838543347109144,0.1261682242990654,0.37850467289719625,-0.04093146964768383,-0.058857440252170386,0.0,1.0,0.0,1.0,1.0,1.0,23.0,2.0
Female_Expressions Contempt 03,Female,Expressions Contempt,-9.0,9.0,20.0,20.0,-24.0,24.0,33.0,33.0,-24.0,24.0,31.0,31.0,-24.0,24.0,33.0,33.0,38.965418211767606,40.98898612450216,0.24784789631299883,0.30084982319412945,0.22897196261682243,0.3037383177570093,-0.04220638765352909,-0.06350795980368819,1.0,0.0,15.0,0.0,1.0,1.0,13.0,2.0
Female_Expressions Contempt 04,Female,Expressions Contempt,-10.0,10.0,20.0,20.0,-12.0,12.0,20.0,20.0,-10.0,10.0,17.0,17.0,-12.0,12.0,20.0,20.0,39.4310790645742,39.534322804936735,0.2516086366132041,0.2822123654534884,0.10747663551401869,0.1822429906542056,-0.04281969382384113,-0.06556566533084228,1.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0
Female_Expressions Contempt 05,Female,Expressions Contempt,-10.0,10.0,22.0,22.0,-30.0,30.0,32.0,32.0,-29.0,29.0,26.0,26.0,-30.0,30.0,32.0,32.0,38.9326990608857,39.32659614141856,0.2456955748183705,0.27686858065774506,0.2757009345794392,0.2850467289719626,-0.036267285592088076,-0.042629067585847086,1.0,1.0,20.0,1.0,1.0,1.0,10.0,6.0
Female_Expressions Desire 01,Female,Expressions Desire,-9.0,9.0,20.0,20.0,-7.0,7.0,13.0,13.0,-5.0,5.0,12.0,12.0,-7.0,7.0,13.0,13.0,40.289497689666035,41.924859022425714,0.2625756525547705,0.3109489528932304,0.06074766355140187,0.13551401869158877,-0.05515945291964807,-0.07852957265399327,0.0,1.0,-2.0,2.0,0.0,1.0,-7.0,1.0
Female_Expressions Desire 02,Female,Expressions Desire,-10.0,10.0,20.0,20.0,-21.0,21.0,52.0,52.0,-19.0,19.0,52.0,52.0,-21.0,21.0,52.0,52.0,38.43085809065917,40.123153317754515,0.24002394860035905,0.2879862941314127,0.5467289719626168,0.49065420560747663,-0.018408215770097536,-0.03616729058394922,1.0,1.0,11.0,2.0,1.0,0.0,32.0,0.0
Female_Expressions Desire 03,Female,Expressions Desire,-10.0,10.0,21.0,21.0,-15.0,15.0,23.0,23.0,-8.0,8.0,19.0,19.0,-15.0,15.0,23.0,23.0,37.027014616493865,40.47575711646927,0.22520869134742522,0.29383379861573194,0.10747663551401869,0.20093457943925233,-0.03362308790750593,-0.06691412126349512,1.0,1.0,5.0,7.0,1.0,1.0,2.0,4.0
Female_Expressions Desire 04,Female,Expressions Desire,-13.0,13.0,12.0,12.0,-34.0,34.0,22.0,22.0,-34.0,34.0,22.0,22.0,-34.0,34.0,22.0,22.0,40.57771370344073,44.71109907872209,0.2746924479431081,0.33734915551738204,0.3037383177570093,0.20093457943925233,-0.07550092890997913,-0.10939706179583183,1.0,0.0,21.0,0.0,1.0,0.0,10.0,0.0
Female_Expressions Desire 05,Female,Expressions Desire,-10.0,10.0,22.0,22.0,-50.0,50.0,39.0,39.0,-50.0,50.0,37.0,37.0,-50.0,50.0,39.0,39.0,37.144536481839474,39.745647837625484,0.22786893632924446,0.28378216629830477,0.4439252336448598,0.3598130841121495,-0.025735869028857935,-0.0565073073745888,1.0,0.0,40.0,0.0,1.0,1.0,17.0,2.0
Female_Expressions Disgust 01,Female,Expressions Disgust,-9.0,9.0,22.0,22.0,-25.0,25.0,31.0,31.0,-25.0,25.0,26.0,26.0,-25.0,25.0,31.0,31.0,39.20735927162883,40.41299228244853,0.248474489305621,0.29459794102428116,0.22897196261682243,0.26635514018691586,-0.04255489879679457,-0.0637187141681386,1.0,0.0,16.0,0.0,1.0,1.0,9.0,5.0
