folder,gender,expression,A_left_angle,A_left_abs_angle,A_right_angle,A_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_left_integrated_drift_deg,A_right_integrated_drift_deg,A_left_integrated_1_minus_cos,A_right_integrated_1_minus_cos,B_left_consistency_AUC,B_right_consistency_AUC,C_left_margin_AUC,C_right_margin_AUC,A_leads_B_left,C_leads_B_left,B_minus_A_left,B_minus_C_left,A_leads_B_right,C_leads_B_right,B_minus_A_right,B_minus_C_right
Female_Expressions Disgust 02,Female,Expressions Disgust,-9.0,9.0,19.0,19.0,-37.0,37.0,31.0,31.0,-37.0,37.0,31.0,31.0,-37.0,37.0,31.0,31.0,37.82649876246943,40.42071210502464,0.2327466412125347,0.28980577688350856,0.3411214953271028,0.29439252336448596,-0.024132830795840682,-0.05145496965568756,1.0,0.0,28.0,0.0,1.0,0.0,12.0,0.0
Female_Expressions Disgust 03,Female,Expressions Disgust,-10.0,10.0,19.0,19.0,-14.0,14.0,18.0,18.0,-12.0,12.0,17.0,17.0,-14.0,14.0,18.0,18.0,38.79767895636157,40.583775290540444,0.24482726382317943,0.2943938318814073,0.1261682242990654,0.16355140186915887,-0.043956423195723064,-0.06745655458664225,1.0,1.0,4.0,2.0,0.0,1.0,-1.0,1.0
Female_Expressions Disgust 04,Female,Expressions Disgust,-7.0,7.0,16.0,16.0,-25.0,25.0,39.0,39.0,-22.0,22.0,33.0,33.0,-25.0,25.0,39.0,39.0,34.98956220968687,37.33358820871598,0.20356548138868027,0.24804000375426818,0.3411214953271028,0.5093457943925234,-0.009943185008574868,-0.01875439690095242,1.0,1.0,18.0,3.0,1.0,1.0,23.0,6.0
Female_Expressions Disgust 05,Female,Expressions Disgust,-10.0,10.0,18.0,18.0,-13.0,13.0,23.0,23.0,-13.0,13.0,17.0,17.0,-13.0,13.0,23.0,23.0,38.46969207202163,42.002851253358,0.23959602819424924,0.309497960817034,0.14485981308411214,0.20093457943925233,-0.032370610214839474,-0.06838792785305843,1.0,0.0,3.0,0.0,1.0,1.0,5.0,6.0
Female_Expressions Excitement 01,Female,Expressions Excitement,-10.0,10.0,22.0,22.0,-26.0,26.0,24.0,24.0,-20.0,20.0,21.0,21.0,-26.0,26.0,24.0,24.0,34.252364553023725,37.84917832980646,0.19575389077730268,0.26121776349076603,0.5093457943925234,0.22897196261682243,-0.014903874876343202,-0.04622240712709516,1.0,1.0,16.0,6.0,1.0,1.0,2.0,3.0
Female_Expressions Excitement 02,Female,Expressions Excitement,-9.0,9.0,22.0,22.0,-25.0,25.0,45.0,45.0,-20.0,20.0,45.0,45.0,-25.0,25.0,45.0,45.0,35.779478676965304,37.4007504370725,0.20924622990260613,0.25544224247754177,0.4719626168224299,0.4158878504672897,-0.01426624973243642,-0.03868192531795145,1.0,1.0,16.0,5.0,1.0,0.0,23.0,0.0
Female_Expressions Excitement 03,Female,Expressions Excitement,-10.0,10.0,20.0,20.0,-12.0,12.0,17.0,17.0,-9.0,9.0,16.0,16.0,-12.0,12.0,17.0,17.0,36.14349605212702,39.6749300132288,0.2132637445057664,0.28145634877347503,0.1261682242990654,0.1542056074766355,-0.02236700447920327,-0.05346984938483372,1.0,1.0,2.0,3.0,0.0,1.0,-3.0,1.0
Female_Expressions Excitement 04,Female,Expressions Excitement,-11.0,11.0,22.0,22.0,-37.0,37.0,20.0,20.0,-35.0,35.0,14.0,14.0,-37.0,37.0,20.0,20.0,36.719296114467014,39.43339072376768,0.22097331842529438,0.2817483786667619,0.3598130841121495,0.1822429906542056,-0.02310194757497199,-0.05057859866418571,1.0,1.0,26.0,2.0,0.0,1.0,-2.0,6.0
Female_Expressions Excitement 05,Female,Expressions Excitement,-9.0,9.0,22.0,22.0,-16.0,16.0,18.0,18.0,-15.0,15.0,13.0,13.0,-16.0,16.0,18.0,18.0,36.7672187078779,40.07367653490227,0.22142404568529575,0.289094233624289,0.14485981308411214,0.16355140186915887,-0.03406621641087755,-0.06908411567456255,1.0,1.0,7.0,1.0,0.0,1.0,-4.0,5.0
Female_Expressions Fear 01,Female,Expressions Fear,-10.0,10.0,21.0,21.0,-19.0,19.0,24.0,24.0,-13.0,13.0,20.0,20.0,-19.0,19.0,24.0,24.0,36.68705874291536,39.01804341779691,0.22023114311360867,0.27482296206126705,0.16355140186915887,0.21962616822429906,-0.027504237455742382,-0.05573898303174527,1.0,1.0,9.0,6.0,1.0,1.0,3.0,4.0
Female_Expressions Fear 02,Female,Expressions Fear,-11.0,11.0,23.0,23.0,-26.0,26.0,31.0,31.0,-19.0,19.0,29.0,29.0,-26.0,26.0,31.0,31.0,36.76933465939816,39.984882065625946,0.22658464006174392,0.29159410339649594,0.2757009345794392,0.2757009345794392,-0.023983604997117942,-0.05688082684423322,1.0,1.0,15.0,7.0,1.0,1.0,8.0,2.0
Female_Expressions Fear 03,Female,Expressions Fear,-9.0,9.0,20.0,20.0,-21.0,21.0,19.0,19.0,-15.0,15.0,13.0,13.0,-21.0,21.0,19.0,19.0,39.664066466215615,41.53640027469564,0.2562190962729053,0.30770624408098024,0.1822429906542056,0.1542056074766355,-0.04886292241444098,-0.07401662173672258,1.0,1.0,12.0,6.0,0.0,1.0,-1.0,6.0
Female_Expressions Fear 04,Female,Expressions Fear,-9.0,9.0,20.0,20.0,-11.0,11.0,19.0,19.0,-10.0,10.0,14.0,14.0,-11.0,11.0,19.0,19.0,38.52135845211065,41.29693739603613,0.24208279190776505,0.30669227994491005,0.10747663551401869,0.1542056074766355,-0.04384780682135965,-0.07477785688694392,1.0,1.0,2.0,1.0,0.0,1.0,-1.0,5.0
Female_Expressions Fear 05,Female,Expressions Fear,-10.0,10.0,21.0,21.0,-12.0,12.0,21.0,21.0,-10.0,10.0,17.0,17.0,-12.0,12.0,21.0,21.0,39.25280895411411,39.97561465635478,0.24941178682808565,0.2877205334534155,0.11682242990654206,0.19158878504672897,-0.04029595489813902,-0.05883228277491632,1.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0
Female_Expressions Happiness 01,Female,Expressions Happiness,-9.0,9.0,20.0,20.0,-26.0,26.0,19.0,19.0,-24.0,24.0,18.0,18.0,-26.0,26.0,19.0,19.0,37.27010011004511,39.936775442595795,0.22836893908331327,0.287362949034878,0.2383177570093458,0.17289719626168223,-0.032657512994570155,-0.06003284844282632,1.0,1.0,17.0,2.0,0.0,1.0,-1.0,1.0
Female_Expressions Happiness 02,Female,Expressions Happiness,-9.0,9.0,20.0,20.0,-22.0,22.0,24.0,24.0,-14.0,14.0,19.0,19.0,-22.0,22.0,24.0,24.0,37.68369844917939,40.431594186575616,0.23393313071438085,0.29016882153314966,0.20093457943925233,0.20093457943925233,-0.04109654582549478,-0.05507828337009822,1.0,1.0,13.0,8.0,1.0,1.0,4.0,5.0
Female_Expressions Happiness 03,Female,Expressions Happiness,-10.0,10.0,23.0,23.0,-24.0,24.0,23.0,23.0,-11.0,11.0,23.0,23.0,-24.0,24.0,23.0,23.0,34.375846946516255,37.89854317307298,0.19843490714224699,0.2648133019977641,0.20093457943925233,0.22897196261682243,-0.017664615238938378,-0.04722535582346337,1.0,1.0,14.0,13.0,0.0,0.0,0.0,0.0
Female_Expressions Happiness 04,Female,Expressions Happiness,-10.0,10.0,22.0,22.0,-26.0,26.0,30.0,30.0,-25.0,25.0,19.0,19.0,-26.0,26.0,30.0,30.0,38.04621524454277,39.01131845746085,0.23848761075010924,0.27918975514786265,0.2383177570093458,0.26635514018691586,-0.028889794773030504,-0.05115310833832928,1.0,1.0,16.0,1.0,1.0,1.0,8.0,11.0
Female_Expressions Happiness 05,Female,Expressions Happiness,-10.0,10.0,22.0,22.0,-29.0,29.0,25.0,25.0,-27.0,27.0,23.0,23.0,-29.0,29.0,25.0,25.0,37.23095348393806,39.51410164788505,0.22809653193037085,0.2816974473333804,0.26635514018691586,0.22897196261682243,-0.027067173585713467,-0.0450134759194383,1.0,1.0,19.0,2.0,1.0,1.0,3.0,2.0
Female_Expressions Sadness 01,Female,Expressions Sadness,-9.0,9.0,20.0,20.0,-22.0,22.0,18.0,18.0,-13.0,13.0,13.0,13.0,-22.0,22.0,18.0,18.0,39.544026655571486,40.911211213218834,0.2557338353629424,0.29968593527223464,0.16355140186915887,0.16355140186915887,-0.05089498067570624,-0.07674451826888824,1.0,1.0,13.0,9.0,0.0,1.0,-2.0,5.0
Female_Expressions Sadness 02,Female,Expressions Sadness,-11.0,11.0,21.0,21.0,-50.0,50.0,46.0,46.0,-50.0,50.0,39.0,39.0,-50.0,50.0,46.0,46.0,37.947988207095136,39.493059382260405,0.23625179568183757,0.2793716362146574,0.46261682242990654,0.40654205607476634,-0.028696428949587814,-0.04473940833149669,1.0,0.0,39.0,0.0,1.0,1.0,25.0,7.0
Female_Expressions Sadness 03,Female,Expressions Sadness,-9.0,9.0,19.0,19.0,-9.0,9.0,18.0,18.0,-8.0,8.0,13.0,13.0,-9.0,9.0,18.0,18.0,40.723154794389956,42.054156552965395,0.2662153957046081,0.31054046750068665,0.0794392523364486,0.14485981308411214,-0.061462314050888346,-0.07891676930066581,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,5.0
Female_Expressions Sadness 04,Female,Expressions Sadness,-8.0,8.0,20.0,20.0,-13.0,13.0,20.0,20.0,-12.0,12.0,20.0,20.0,-13.0,13.0,20.0,20.0,40.640623114933476,41.93877206728837,0.264331757743782,0.31183891402226743,0.11682242990654206,0.1822429906542056,-0.0605766129827945,-0.07948188233041317,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
Female_Expressions Sadness 05,Female,Expressions Sadness,-9.0,9.0,21.0,21.0,-22.0,22.0,24.0,24.0,-15.0,15.0,23.0,23.0,-22.0,22.0,24.0,24.0,40.508693859955976,41.9889456005854,0.2641402471845395,0.31124202029727327,0.20093457943925233,0.22897196261682243,-0.050818113523108936,-0.06609381818882773,1.0,1.0,13.0,7.0,1.0,1.0,3.0,1.0
Female_Expressions Surprise 01,Female,Expressions Surprise,-8.0,8.0,17.0,17.0,-65.0,65.0,59.0,59.0,-65.0,65.0,58.0,58.0,-65.0,65.0,59.0,59.0,37.14906179570706,38.86356456313178,0.22882117177838476,0.2703215504918143,0.602803738317757,0.5467289719626168,-0.0003140089667846109,-0.01926255114724703,1.0,0.0,57.0,0.0,1.0,1.0,42.0,1.0
Female_Expressions Surprise 02,Female,Expressions Surprise,-9.0,9.0,21.0,21.0,-25.0,25.0,27.0,27.0,-25.0,25.0,21.0,21.0,-25.0,25.0,27.0,27.0,38.879634226594014,41.76570935979068,0.2452711407269273,0.3110055700640812,0.26635514018691586,0.22897196261682243,-0.034732405827424234,-0.06778029011231716,1.0,0.0,16.0,0.0,1.0,1.0,6.0,6.0
Female_Expressions Surprise 03,Female,Expressions Surprise,-9.0,9.0,22.0,22.0,-17.0,17.0,24.0,24.0,-15.0,15.0,23.0,23.0,-17.0,17.0,24.0,24.0,37.19360323932683,39.38873317057841,0.2276965613677123,0.28432262835101546,0.1542056074766355,0.21962616822429906,-0.04034425889220193,-0.07383480793404802,1.0,1.0,8.0,2.0,1.0,1.0,2.0,1.0
Female_Expressions Surprise 04,Female,Expressions Surprise,-11.0,11.0,23.0,23.0,-21.0,21.0,39.0,39.0,-20.0,20.0,34.0,34.0,-21.0,21.0,39.0,39.0,36.68402392841945,38.858908110132845,0.22373957277458406,0.2795903671567685,0.22897196261682243,0.3411214953271028,-0.03603254105443152,-0.05900552381421918,1.0,1.0,10.0,1.0,1.0,1.0,16.0,5.0
Female_Expressions Surprise 05,Female,Expressions Surprise,-10.0,10.0,23.0,23.0,-32.0,32.0,34.0,34.0,-23.0,23.0,33.0,33.0,-32.0,32.0,34.0,34.0,36.83227702390368,39.996384230729575,0.22531817728113906,0.29009910498824076,0.3037383177570093,0.3130841121495327,-0.027377904018509053,-0.06350492525880581,1.0,1.0,22.0,9.0,1.0,1.0,11.0,1.0
Female_Eyeglasses 1,Female,Eyeglasses,-4.0,4.0,3.0,3.0,-85.0,85.0,86.0,86.0,-85.0,85.0,86.0,86.0,-85.0,85.0,86.0,86.0,43.04592769391069,43.8518734691299,0.28943695058332425,0.2978916686271953,0.9112149532710281,0.9158878504672897,0.07274722412367847,0.07136618728949645,1.0,0.0,81.0,0.0,1.0,0.0,83.0,0.0
Female_Fear 01,Female,Fear,-10.0,10.0,12.0,12.0,-72.0,72.0,26.0,26.0,-72.0,72.0,26.0,26.0,-72.0,72.0,26.0,26.0,37.04254719475719,43.3757545034462,0.2287511335355099,0.31081239419562795,0.6682242990654206,0.40654205607476634,-0.03201620796016444,-0.05816170517529282,1.0,0.0,62.0,0.0,1.0,0.0,14.0,0.0
Female_Fear 02,Female,Fear,-10.0,10.0,11.0,11.0,-24.0,24.0,39.0,39.0,-23.0,23.0,38.0,38.0,-24.0,24.0,39.0,39.0,37.526687209851275,40.37828359202804,0.23030157930383058,0.2722136169393486,0.21962616822429906,0.35046728971962615,-0.03100793662472306,-0.04038396254878178,1.0,1.0,14.0,1.0,1.0,1.0,28.0,1.0
Female_Fear 03,Female,Fear,-10.0,10.0,10.0,10.0,-27.0,27.0,23.0,23.0,-25.0,25.0,21.0,21.0,-27.0,27.0,23.0,23.0,38.239484833779734,44.09603123575727,0.2393724099497929,0.3172540152184317,0.26635514018691586,0.2102803738317757,-0.025641560554504395,-0.057424839690466904,1.0,1.0,17.0,2.0,1.0,1.0,13.0,2.0
Female_Fear 04,Female,Fear,-9.0,9.0,11.0,11.0,-21.0,21.0,40.0,40.0,-20.0,20.0,40.0,40.0,-21.0,21.0,40.0,40.0,38.3290536804734,40.381434817180455,0.23977785968334875,0.27149765625178257,0.2102803738317757,0.3691588785046729,-0.02751225873688671,-0.03517432998273974,1.0,1.0,12.0,1.0,1.0,0.0,29.0,0.0
Female_Fear 05,Female,Fear,-9.0,9.0,12.0,12.0,-32.0,32.0,31.0,31.0,-22.0,22.0,29.0,29.0,-32.0,32.0,31.0,31.0,37.5488365164427,41.29004768567665,0.23613857610203395,0.28918122019723197,0.26635514018691586,0.3130841121495327,-0.027559451271440383,-0.049074420862108746,1.0,1.0,23.0,10.0,1.0,1.0,19.0,2.0
Female_Fierce Cutthroat,Female,Fierce Cutthroat,-8.0,8.0,5.0,5.0,-21.0,21.0,21.0,21.0,-21.0,21.0,17.0,17.0,-21.0,21.0,21.0,21.0,34.92061403978651,35.148588804441076,0.19734609489128968,0.1994639740926083,0.3598130841121495,0.32242990654205606,-0.016522191116743,-0.01580177734945422,1.0,0.0,13.0,0.0,1.0,1.0,16.0,4.0
Female_Fierce Fiery,Female,Fierce Fiery,-9.0,9.0,6.0,6.0,-19.0,19.0,17.0,17.0,-18.0,18.0,17.0,17.0,-19.0,19.0,17.0,17.0,36.616965723929006,37.13251629053989,0.2184217783892266,0.2240005308222548,0.16355140186915887,0.1542056074766355,-0.03370844315145617,-0.033467477448632786,1.0,1.0,10.0,1.0,1.0,0.0,11.0,0.0
Female_Fierce Savage,Female,Fierce Savage,-8.0,8.0,4.0,4.0,-22.0,22.0,81.0,81.0,-22.0,22.0,80.0,80.0,-22.0,22.0,81.0,81.0,35.69702198349427,36.44267493096468,0.20611315352894435,0.21426079874840853,0.7336448598130841,0.7523364485981309,0.0009237811944195043,-0.0005164798175063089,1.0,0.0,14.0,0.0,1.0,1.0,77.0,1.0
Female_Happy 01,Female,Happy,-10.0,10.0,12.0,12.0,-23.0,23.0,13.0,13.0,-10.0,10.0,12.0,12.0,-23.0,23.0,13.0,13.0,35.19782870729393,40.25767098186172,0.20472940050552937,0.2696022589073003,0.3317757009345794,0.1542056074766355,-0.02213619189841725,-0.03662763438492178,1.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0
Female_Happy 02,Female,Happy,-8.0,8.0,9.0,9.0,-15.0,15.0,14.0,14.0,-9.0,9.0,11.0,11.0,-15.0,15.0,14.0,14.0,39.477927963310314,44.75323676617346,0.251237924410918,0.3219024160197962,0.10747663551401869,0.1261682242990654,-0.04940133172774983,-0.05972859555872801,1.0,1.0,7.0,6.0,1.0,1.0,5.0,3.0
Female_Happy 03,Female,Happy,-8.0,8.0,9.0,9.0,-18.0,18.0,18.0,18.0,-13.0,13.0,15.0,15.0,-18.0,18.0,18.0,18.0,39.1907141074956,43.317264708403115,0.24840547492570966,0.3046974264015661,0.16355140186915887,0.16355140186915887,-0.04310792935228793,-0.05102544089901113,1.0,1.0,10.0,5.0,1.0,1.0,9.0,3.0
Female_Happy 04,Female,Happy,-7.0,7.0,9.0,9.0,-16.0,16.0,23.0,23.0,-14.0,14.0,23.0,23.0,-16.0,16.0,23.0,23.0,39.368764086304424,44.71369453234093,0.24990006027934708,0.32135274449241497,0.1542056074766355,0.21962616822429906,-0.046711994108752666,-0.05511097233986186,1.0,1.0,9.0,2.0,1.0,0.0,14.0,0.0
Female_Happy 05,Female,Happy,-11.0,11.0,11.0,11.0,-18.0,18.0,29.0,29.0,-17.0,17.0,24.0,24.0,-18.0,18.0,29.0,29.0,39.58207383111259,43.128789932928356,0.2564466200142263,0.30212637392159936,0.16355140186915887,0.26635514018691586,-0.035772876343994495,-0.033105120202091255,1.0,1.0,7.0,1.0,1.0,1.0,18.0,5.0
Female_Happy Elated,Female,Happy Elated,-10.0,10.0,8.0,8.0,-23.0,23.0,37.0,37.0,-22.0,22.0,37.0,37.0,-23.0,23.0,37.0,37.0,34.973032253924934,35.82861885177755,0.20163712490384825,0.21183976029681267,0.2570093457943925,0.397196261682243,-0.02182063209676297,-0.020568170558626406,1.0,1.0,13.0,1.0,1.0,0.0,29.0,0.0
Female_Happy Perky,Female,Happy Perky,-8.0,8.0,1.0,1.0,-24.0,24.0,24.0,24.0,-24.0,24.0,24.0,24.0,-24.0,24.0,24.0,24.0,36.870390132208854,37.096963918097664,0.22076545864622169,0.22277905060866168,0.21962616822429906,0.2383177570093458,-0.025916983869588264,-0.025305146925917295,1.0,0.0,16.0,0.0,1.0,0.0,23.0,0.0
Female_Happy So Peaceful,Female,Happy So Peaceful,-11.0,11.0,8.0,8.0,-48.0,48.0,48.0,48.0,-48.0,48.0,45.0,45.0,-48.0,48.0,48.0,48.0,36.328960708368605,36.11356529342794,0.21884587212143658,0.21601466625650353,0.4439252336448598,0.4439252336448598,-0.017434124077591942,-0.01718778699357933,1.0,0.0,37.0,0.0,1.0,1.0,40.0,3.0
Female_Humiliated,Female,Humiliated,-9.0,9.0,7.0,7.0,-21.0,21.0,31.0,31.0,-12.0,12.0,31.0,31.0,-21.0,21.0,31.0,31.0,39.25088574061884,45.2059238826003,0.24867434367955288,0.3274548017533026,0.2383177570093458,0.3411214953271028,-0.03604689546834643,-0.05340393180045012,1.0,1.0,12.0,9.0,1.0,0.0,24.0,0.0
Female_Insanity Deranged,Female,Insanity Deranged,-8.0,8.0,5.0,5.0,-43.0,43.0,84.0,84.0,-42.0,42.0,77.0,77.0,-43.0,43.0,84.0,84.0,35.88510721420573,36.15044813958284,0.21120059378793307,0.21379921982221514,0.6682242990654206,0.7710280373831776,-0.018476706381156064,-0.013240423854266372,1.0,1.0,35.0,1.0,1.0,1.0,79.0,7.0
Female_Insanity Go Cuckoo,Female,Insanity Go Cuckoo,-9.0,9.0,11.0,11.0,-21.0,21.0,25.0,25.0,-21.0,21.0,25.0,25.0,-21.0,21.0,25.0,25.0,36.999189617477846,42.52759696390027,0.2225091930861785,0.30050317873464566,0.2102803738317757,0.22897196261682243,-0.026945262311774992,-0.05507395172787604,1.0,0.0,12.0,0.0,1.0,0.0,14.0,0.0
Female_Insanity Going Crazy,Female,Insanity Going Crazy,-12.0,12.0,11.0,11.0,-24.0,24.0,29.0,29.0,-24.0,24.0,26.0,26.0,-24.0,24.0,29.0,29.0,35.46439407473412,35.42673192068795,0.21699551054250413,0.2175692776653254,0.21962616822429906,0.2570093457943925,-0.04700731785497933,-0.04264453192737615,1.0,0.0,12.0,0.0,1.0,1.0,18.0,3.0
Female_Insanity Hostile,Female,Insanity Hostile,-9.0,9.0,7.0,7.0,-56.0,56.0,67.0,67.0,-40.0,40.0,55.0,55.0,-56.0,56.0,67.0,67.0,33.17617340177019,33.84808362087357,0.18362205273637147,0.19017536172242921,0.5280373831775701,0.6121495327102804,-0.014540131404021077,-0.016490358337063655,1.0,1.0,47.0,16.0,1.0,1.0,60.0,12.0
Female_Insanity Lunatic,Female,Insanity Lunatic,-8.0,8.0,3.0,3.0,-15.0,15.0,21.0,21.0,-13.0,13.0,21.0,21.0,-15.0,15.0,21.0,21.0,37.47289261416854,38.42210595852861,0.22763971859049575,0.23816116446646574,0.14018691588785046,0.18691588785046728,-0.03721959680040306,-0.0407207441107135,1.0,1.0,7.0,2.0,1.0,0.0,18.0,0.0
Female_Joy 01,Female,Joy,-9.0,9.0,9.0,9.0,-14.0,14.0,8.0,8.0,-11.0,11.0,7.0,7.0,-14.0,14.0,8.0,8.0,36.76519845356451,42.22337440463984,0.21982852153688948,0.29044373793022654,0.09813084112149532,0.0794392523364486,-0.03369002085979854,-0.04680554192756938,1.0,1.0,5.0,3.0,0.0,1.0,-1.0,1.0
Female_Joy 02,Female,Joy,-10.0,10.0,10.0,10.0,-40.0,40.0,39.0,39.0,-25.0,25.0,39.0,39.0,-40.0,40.0,39.0,39.0,35.184392138062236,39.99765404139724,0.20447747562533228,0.26662152142168205,0.32242990654205606,0.3598130841121495,-0.02140233087762494,-0.028142926013358285,1.0,1.0,30.0,15.0,1.0,0.0,29.0,0.0
Female_Joy 03,Female,Joy,-12.0,12.0,13.0,13.0,-48.0,48.0,55.0,55.0,-48.0,48.0,50.0,50.0,-48.0,48.0,55.0,55.0,36.927505152247775,41.127069366312476,0.22560898500068166,0.2811440059514803,0.4532710280373832,0.48130841121495327,-0.016271864699426097,-0.019052735138162274,1.0,0.0,36.0,0.0,1.0,1.0,42.0,5.0
Female_Joy 04,Female,Joy,-9.0,9.0,11.0,11.0,-11.0,11.0,25.0,25.0,-9.0,9.0,24.0,24.0,-11.0,11.0,25.0,25.0,35.50110767934924,40.58444973909966,0.20657065650013007,0.2713370610063321,0.17289719626168223,0.2383177570093458,-0.019270603066292878,-0.03435727480415986,1.0,1.0,2.0,2.0,1.0,1.0,14.0,1.0
Female_Joy 05,Female,Joy,-11.0,11.0,13.0,13.0,-68.0,68.0,35.0,35.0,-59.0,59.0,22.0,22.0,-68.0,68.0,35.0,35.0,33.61318466596514,39.758355227586264,0.19168387506609766,0.2659682556290493,0.6308411214953271,0.2757009345794392,-0.014476902295495862,-0.032401872154708224,1.0,1.0,57.0,9.0,1.0,1.0,22.0,13.0
Female_Judgemental 01,Female,Judgemental,-10.0,10.0,8.0,8.0,-15.0,15.0,17.0,17.0,-15.0,15.0,11.0,11.0,-15.0,15.0,17.0,17.0,38.378070907058,44.69340484833049,0.24359855585009138,0.32480907328774994,0.3130841121495327,0.13551401869158877,-0.042027735543028216,-0.07053430113836984,1.0,0.0,5.0,0.0,1.0,1.0,9.0,6.0
Female_Judgemental 02,Female,Judgemental,-7.0,7.0,10.0,10.0,-12.0,12.0,12.0,12.0,-8.0,8.0,6.0,6.0,-12.0,12.0,12.0,12.0,39.909071133515546,44.42757345137195,0.25863807892130913,0.32054634434040463,0.13551401869158877,0.10747663551401869,-0.052498957821141896,-0.0659771187004642,1.0,1.0,5.0,4.0,1.0,1.0,2.0,6.0
Female_Judgemental 03,Female,Judgemental,-8.0,8.0,10.0,10.0,-25.0,25.0,13.0,13.0,-22.0,22.0,12.0,12.0,-25.0,25.0,13.0,13.0,39.47754067349657,43.03186909060612,0.2520056339067833,0.30404595153354036,0.22897196261682243,0.11682242990654206,-0.04910393017474736,-0.0723899005450935,1.0,1.0,17.0,3.0,1.0,1.0,3.0,1.0
Female_Judgemental 04,Female,Judgemental,-10.0,10.0,12.0,12.0,-20.0,20.0,39.0,39.0,-20.0,20.0,29.0,29.0,-20.0,20.0,39.0,39.0,39.12379293575465,43.021713573241904,0.25001095778474186,0.3058384656906128,0.2102803738317757,0.3317757009345794,-0.04027677417915558,-0.049366373603589066,1.0,0.0,10.0,0.0,1.0,1.0,27.0,10.0
Female_Judgemental 05,Female,Judgemental,-9.0,9.0,5.0,5.0,-14.0,14.0,29.0,29.0,-9.0,9.0,24.0,24.0,-14.0,14.0,29.0,29.0,38.19872052647243,43.86773709716084,0.23629103419936706,0.3104304565447513,0.10747663551401869,0.24766355140186916,-0.02955730663281735,-0.048447922429191735,1.0,1.0,5.0,5.0,1.0,1.0,24.0,5.0
Female_Nervous,Female,Nervous,-9.0,9.0,11.0,11.0,-18.0,18.0,13.0,13.0,-12.0,12.0,11.0,11.0,-18.0,18.0,13.0,13.0,39.400569597137306,42.975628164327034,0.25050414332719606,0.3023862766328259,0.1542056074766355,0.11682242990654206,-0.04254078670082805,-0.05601651924792851,1.0,1.0,9.0,6.0,1.0,1.0,2.0,2.0
Female_Pain 01,Female,Pain,-9.0,9.0,11.0,11.0,-21.0,21.0,34.0,34.0,-21.0,21.0,34.0,34.0,-21.0,21.0,34.0,34.0,36.70022345034876,42.8418296920919,0.2194141533887275,0.29764552316933035,0.49065420560747663,0.37850467289719625,-0.014303477010994313,-0.03287319449063773,1.0,0.0,12.0,0.0,1.0,0.0,23.0,0.0
Female_Pain 02,Female,Pain,-10.0,10.0,11.0,11.0,-85.0,85.0,71.0,71.0,-57.0,57.0,45.0,45.0,-85.0,85.0,71.0,71.0,35.78399211223994,40.72560814385102,0.2102663333170882,0.27316236468119043,0.7429906542056075,0.5747663551401869,-0.0008598532632132557,-0.013665415276990873,1.0,1.0,75.0,28.0,1.0,1.0,60.0,26.0
Female_Pain 03,Female,Pain,-8.0,8.0,10.0,10.0,-15.0,15.0,20.0,20.0,-9.0,9.0,20.0,20.0,-15.0,15.0,20.0,20.0,40.895209441675206,45.4963923436459,0.26651746591674946,0.3308794080654037,0.13551401869158877,0.17289719626168223,-0.05775458344789309,-0.0660642942535543,1.0,1.0,7.0,6.0,1.0,0.0,10.0,0.0
Female_Pain 04,Female,Pain,-9.0,9.0,11.0,11.0,-35.0,35.0,42.0,42.0,-19.0,19.0,42.0,42.0,-35.0,35.0,42.0,42.0,37.32472074811704,41.377728283962355,0.23007225321832103,0.28482042879701774,0.32242990654205606,0.3878504672897196,-0.028982916725016086,-0.04837685851293189,1.0,1.0,26.0,16.0,1.0,0.0,31.0,0.0
Female_Pain 05,Female,Pain,-9.0,9.0,13.0,13.0,-21.0,21.0,35.0,35.0,-21.0,21.0,28.0,28.0,-21.0,21.0,35.0,35.0,37.87230490301257,41.25246406047144,0.2311151896681741,0.27973943893040454,0.2757009345794392,0.5186915887850467,-0.014316514830722988,-0.014439956746368764,1.0,0.0,12.0,0.0,1.0,1.0,22.0,7.0
Female_Pain Illness,Female,Pain Illness,-10.0,10.0,3.0,3.0,-44.0,44.0,56.0,56.0,-44.0,44.0,49.0,49.0,-44.0,44.0,56.0,56.0,37.18216524391531,36.569034344682066,0.22391654286429147,0.21698109457425982,0.46261682242990654,0.5934579439252337,-0.0148301049370632,-0.010995822810681066,1.0,0.0,34.0,0.0,1.0,1.0,53.0,7.0
Female_Playful 01,Female,Playful,-10.0,10.0,9.0,9.0,-21.0,21.0,23.0,23.0,-14.0,14.0,23.0,23.0,-21.0,21.0,23.0,23.0,39.84736135072797,44.9989688418736,0.2596800792440076,0.32450968194230695,0.17289719626168223,0.2383177570093458,-0.05614264768974803,-0.04162215030638971,1.0,1.0,11.0,7.0,1.0,0.0,14.0,0.0
