abs_angle,A_mean_drift_deg,A_median_drift_deg,A_mean_1_minus_cos,B_accuracy,C_mean_margin,C_median_margin,N
60.0,47.9100287703217,48.43544960021973,0.3327976250257648,0.09953161592505855,-0.029148242582481974,-0.02990853786468506,427
61.0,48.045799210702505,48.988840103149414,0.33411735261352055,0.10304449648711944,-0.029332140499869888,-0.030172646045684814,427
62.0,48.18970238464498,49.05951690673828,0.3358863430922149,0.10421545667447307,-0.028774181699306123,-0.02875491976737976,427
63.0,48.43680007005464,49.538307189941406,0.33908814457037967,0.08899297423887588,-0.02964034306640089,-0.028828918933868408,427
64.0,48.810463934369054,49.761308670043945,0.344103570914101,0.08665105386416862,-0.02993409422856583,-0.029723018407821655,427
65.0,49.07002064439117,50.17344665527344,0.3476285744606751,0.07611241217798595,-0.030450316865773614,-0.029606163501739502,427
66.0,49.36378234666739,50.5500545501709,0.35153955430560146,0.08079625292740047,-0.032005550501218165,-0.031134605407714844,427
67.0,49.55665371736263,50.6674919128418,0.35420013011478985,0.07962529274004684,-0.032755202515622216,-0.03217875957489014,427
68.0,49.67822744918931,50.76625442504883,0.35582579941046044,0.07494145199063232,-0.03414228272382214,-0.032591283321380615,427
69.0,49.882708020176764,51.215911865234375,0.3583923510561503,0.06791569086651054,-0.03611173451086397,-0.0348166823387146,427
70.0,50.387643166392415,51.727447509765625,0.36533902910051635,0.06088992974238876,-0.03816053920384034,-0.03713998198509216,427
71.0,50.702708300159465,52.29973602294922,0.36972032232641894,0.053864168618266976,-0.03877599331478324,-0.03676620125770569,427
72.0,51.33390145223649,52.79885673522949,0.37836068924472815,0.05503512880562061,-0.04156731871726641,-0.03928282856941223,427
73.0,51.73271916677578,53.14981460571289,0.3837763043840261,0.05152224824355972,-0.04272701376634683,-0.04025587439537048,427
74.0,52.13975506141538,53.54728317260742,0.38926883610685203,0.04800936768149883,-0.04387299269786763,-0.040476709604263306,427
75.0,52.425507444966875,53.66655349731445,0.3931755430525304,0.05035128805620609,-0.04410073736931178,-0.03785425424575806,427
76.0,52.74541983950613,53.7494010925293,0.3975812175095221,0.04566744730679157,-0.046396665920697557,-0.039268940687179565,427
77.0,53.14746920565531,54.04572105407715,0.40297954136928854,0.0468384074941452,-0.04818884225723615,-0.04087713360786438,427
78.0,53.183814484285804,53.964725494384766,0.40339424920026257,0.0468384074941452,-0.04876555659452702,-0.041578829288482666,427
