expression,side,A_before_B_female,mean_lead_female,median_lead_female,n_sequences_female,A_before_B_male,mean_lead_male,median_lead_male,n_sequences_male,rate_difference_female_minus_male,mean_lead_difference_female_minus_male
Expressions Surprise,right,1.0,15.4,11.0,5,1.0,12.4,13.0,5,0.0,3.0
Eyeglasses,left,1.0,81.0,81.0,1,1.0,95.0,95.0,1,0.0,-14.0
Eyeglasses,right,1.0,83.0,83.0,1,1.0,100.0,100.0,1,0.0,-17.0
Fear,left,1.0,25.6,17.0,5,1.0,14.2,14.0,5,0.0,11.400000000000002
Fear,right,1.0,20.6,19.0,5,1.0,10.4,12.0,5,0.0,10.200000000000001
Fierce Cutthroat,left,1.0,13.0,13.0,1,1.0,23.0,23.0,1,0.0,-10.0
Fierce Cutthroat,right,1.0,16.0,16.0,1,1.0,6.0,6.0,1,0.0,10.0
Fierce Fiery,left,1.0,10.0,10.0,1,1.0,14.0,14.0,1,0.0,-4.0
Fierce Fiery,right,1.0,11.0,11.0,1,1.0,14.0,14.0,1,0.0,-3.0
Fierce Savage,left,1.0,14.0,14.0,1,1.0,3.0,3.0,1,0.0,11.0
Fierce Savage,right,1.0,77.0,77.0,1,1.0,23.0,23.0,1,0.0,54.0
Happy,left,1.0,9.2,9.0,5,1.0,16.6,9.0,5,0.0,-7.400000000000002
Happy,right,1.0,9.4,9.0,5,0.8,7.4,10.0,5,0.19999999999999996,2.0
Happy Elated,left,1.0,13.0,13.0,1,1.0,12.0,12.0,1,0.0,1.0
Happy Elated,right,1.0,29.0,29.0,1,1.0,52.0,52.0,1,0.0,-23.0
Happy Perky,left,1.0,16.0,16.0,1,1.0,21.0,21.0,1,0.0,-5.0
Happy Perky,right,1.0,23.0,23.0,1,1.0,22.0,22.0,1,0.0,1.0
Happy So Peaceful,left,1.0,37.0,37.0,1,1.0,56.0,56.0,1,0.0,-19.0
Happy So Peaceful,right,1.0,40.0,40.0,1,1.0,63.0,63.0,1,0.0,-23.0
Humiliated,left,1.0,12.0,12.0,1,1.0,13.0,13.0,1,0.0,-1.0
Humiliated,right,1.0,24.0,24.0,1,1.0,8.0,8.0,1,0.0,16.0
Insanity Deranged,left,1.0,35.0,35.0,1,1.0,10.0,10.0,1,0.0,25.0
Insanity Deranged,right,1.0,79.0,79.0,1,1.0,40.0,40.0,1,0.0,39.0
Insanity Going Crazy,left,1.0,12.0,12.0,1,1.0,27.0,27.0,1,0.0,-15.0
Insanity Going Crazy,right,1.0,18.0,18.0,1,1.0,34.0,34.0,1,0.0,-16.0
Insanity Hostile,left,1.0,47.0,47.0,1,1.0,19.0,19.0,1,0.0,28.0
Insanity Hostile,right,1.0,60.0,60.0,1,1.0,35.0,35.0,1,0.0,25.0
Insanity Lunatic,left,1.0,7.0,7.0,1,1.0,3.0,3.0,1,0.0,4.0
Insanity Lunatic,right,1.0,18.0,18.0,1,1.0,40.0,40.0,1,0.0,-22.0
Joy,left,1.0,26.0,30.0,5,1.0,28.0,23.0,5,0.0,-2.0
Joy,right,0.8,21.2,22.0,5,1.0,13.8,6.0,5,-0.19999999999999996,7.399999999999999
Judgemental,left,1.0,8.4,5.0,5,1.0,6.8,8.0,5,0.0,1.6000000000000005
