excluded_expression,Female_left_A_before_B,Female_left_median_lead,Female_left_mean_lead,Female_right_A_before_B,Female_right_median_lead,Female_right_mean_lead,Male_left_A_before_B,Male_left_median_lead,Male_left_mean_lead,Male_right_A_before_B,Male_right_median_lead,Male_right_mean_lead
Silly,0.935,11.5,15.89,0.85,11.0,16.065,0.9675925925925926,9.0,14.296296296296296,0.9351851851851852,8.0,14.24537037037037
Sleepy,0.9396984924623115,12.0,15.78391959798995,0.8492462311557789,12.0,16.155778894472363,0.9674418604651163,10.0,14.158139534883722,0.9348837209302325,8.0,14.334883720930232
Straining,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.5,14.431818181818182,0.9363636363636364,8.0,14.531818181818181
Subtle,0.945273631840796,12.0,16.228855721393035,0.8606965174129353,12.0,16.597014925373134,0.9675925925925926,10.0,14.666666666666666,0.9351851851851852,8.5,14.810185185185185
Talking,0.935,12.0,16.0,0.85,12.0,16.41,0.9675925925925926,10.0,14.606481481481481,0.9351851851851852,8.0,14.671296296296296
Terror,0.9362745098039216,12.0,15.882352941176471,0.8529411764705882,11.5,16.245098039215687,0.9681818181818181,9.0,14.372727272727273,0.9363636363636364,8.0,14.472727272727273
Terror Phobia,0.9362745098039216,12.0,15.950980392156863,0.8529411764705882,11.5,16.274509803921568,0.9681818181818181,9.5,14.422727272727272,0.9363636363636364,8.0,14.522727272727273
Ulgh,0.9362745098039216,12.0,15.740196078431373,0.8529411764705882,11.5,16.073529411764707,0.9681818181818181,9.0,14.4,0.9363636363636364,8.0,14.540909090909091
Wicked,0.945,12.0,16.16,0.855,11.5,16.395,0.9675925925925926,9.0,14.375,0.9351851851851852,8.0,14.49074074074074
Wink,0.9362745098039216,12.0,15.735294117647058,0.8529411764705882,11.5,16.269607843137255,0.9681818181818181,9.0,14.172727272727272,0.9363636363636364,8.0,14.540909090909091
With Forehead Wrinkles Angry,0.935,12.0,15.96,0.855,12.0,16.445,0.9675925925925926,9.0,14.453703703703704,0.9351851851851852,8.0,14.578703703703704
ZMouth Open Horizontal,0.9362745098039216,12.0,16.004901960784313,0.8529411764705882,12.0,16.333333333333332,0.9681818181818181,9.5,14.427272727272728,0.9363636363636364,8.0,14.559090909090909
ZMouth Open Horizontal And Vertical,0.9362745098039216,12.0,15.946078431372548,0.8529411764705882,11.5,16.30392156862745,0.9681818181818181,9.0,14.35,0.9363636363636364,8.0,14.5
ZZ_Bearded,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.340909090909092,0.9363636363636364,8.0,14.513636363636364
ZZ_Cavalier,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.227272727272727,0.9363636363636364,8.0,14.363636363636363
ZZ_Dapper,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.404545454545454,0.9363636363636364,8.0,14.527272727272727
ZZ_Flynn,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.39090909090909,0.9363636363636364,8.0,14.531818181818181
ZZ_Franz Josef,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.5,14.427272727272728,0.9363636363636364,8.0,14.559090909090909
ZZ_Friendly Mutton Chops,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.331818181818182,0.9363636363636364,8.0,14.504545454545454
ZZ_Fu Manchu,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.5,14.418181818181818,0.9363636363636364,8.0,14.559090909090909
ZZ_Fu Manchu Goatee,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.386363636363637,0.9363636363636364,8.0,14.49090909090909
ZZ_Full Beard,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.5,14.431818181818182,0.9363636363636364,8.0,14.559090909090909
ZZ_Goatee,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.386363636363637,0.9363636363636364,8.0,14.531818181818181
ZZ_Grizzly Beard,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9683257918552036,9.0,14.393665158371041,0.9366515837104072,8.0,14.515837104072398
ZZ_Mutton Chops,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.368181818181819,0.9363636363636364,8.0,14.527272727272727
ZZ_Napoleon III,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.227272727272727,0.9363636363636364,8.0,14.272727272727273
ZZ_Officer,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.39090909090909,0.9363636363636364,8.0,14.531818181818181
ZZ_Pioneer,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.281818181818181,0.9363636363636364,8.0,14.413636363636364
ZZ_Stubbled,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.381818181818181,0.9363636363636364,8.0,14.295454545454545
