folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_Expressions Contempt 05,Expressions Contempt,Female,Female_Base,Female,right,129.0,133.0,139.0,22,26.0,32.0,10.0,1,215,107,Female_Expressions Contempt 05
Female_Expressions Desire 01,Expressions Desire,Female,Female_Base,Female,left,98.0,102.0,100.0,9,5.0,7.0,-2.0,0,215,107,Female_Expressions Desire 01
Female_Expressions Desire 01,Expressions Desire,Female,Female_Base,Female,right,127.0,119.0,120.0,20,12.0,13.0,-7.0,0,215,107,Female_Expressions Desire 01
Female_Expressions Desire 02,Expressions Desire,Female,Female_Base,Female,left,97.0,88.0,86.0,10,19.0,21.0,11.0,1,215,107,Female_Expressions Desire 02
Female_Expressions Desire 02,Expressions Desire,Female,Female_Base,Female,right,127.0,159.0,159.0,20,52.0,52.0,32.0,1,215,107,Female_Expressions Desire 02
Female_Expressions Desire 03,Expressions Desire,Female,Female_Base,Female,left,97.0,99.0,92.0,10,8.0,15.0,5.0,1,215,107,Female_Expressions Desire 03
Female_Expressions Desire 03,Expressions Desire,Female,Female_Base,Female,right,128.0,126.0,130.0,21,19.0,23.0,2.0,1,215,107,Female_Expressions Desire 03
Female_Expressions Desire 04,Expressions Desire,Female,Female_Base,Female,left,94.0,73.0,73.0,13,34.0,34.0,21.0,1,215,107,Female_Expressions Desire 04
Female_Expressions Desire 04,Expressions Desire,Female,Female_Base,Female,right,119.0,129.0,129.0,12,22.0,22.0,10.0,1,215,107,Female_Expressions Desire 04
Female_Expressions Desire 05,Expressions Desire,Female,Female_Base,Female,left,97.0,57.0,57.0,10,50.0,50.0,40.0,1,215,107,Female_Expressions Desire 05
Female_Expressions Desire 05,Expressions Desire,Female,Female_Base,Female,right,129.0,144.0,146.0,22,37.0,39.0,17.0,1,215,107,Female_Expressions Desire 05
Female_Expressions Disgust 01,Expressions Disgust,Female,Female_Base,Female,left,98.0,82.0,82.0,9,25.0,25.0,16.0,1,215,107,Female_Expressions Disgust 01
