identity,side,expression,n_sequences,n_valid_A_B,primary_eligible,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Female,left,Animosity Rebellious,1,1,False,1.0,100.0,0.20654329147389294,1.0,22.0,22.0,100.0
Female,left,Bored,5,5,True,1.0,100.0,0.5655085052479191,1.0,5.0,5.4,100.0
Female,left,BreathTaking Over The Moon,1,1,False,1.0,100.0,0.20654329147389294,1.0,55.0,55.0,100.0
Female,left,Chewing,1,1,False,1.0,100.0,0.20654329147389294,1.0,8.0,8.0,100.0
Female,left,Choking,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Female,left,Coughing,1,1,False,1.0,100.0,0.20654329147389294,1.0,54.0,54.0,100.0
Female,left,Crazed,1,1,False,1.0,100.0,0.20654329147389294,1.0,22.0,22.0,100.0
Female,left,Crying,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Female,left,Cute,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,8.2,100.0
Female,left,Despise,5,5,True,1.0,100.0,0.5655085052479191,1.0,13.0,12.2,100.0
Female,left,Determined,1,1,False,1.0,100.0,0.20654329147389294,1.0,11.0,11.0,100.0
Female,left,Distrust,5,5,True,1.0,100.0,0.5655085052479191,1.0,2.0,5.2,100.0
Female,left,Empathy,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,3.0,3.8,80.0
Female,left,Expressions Anger,5,5,True,1.0,100.0,0.5655085052479191,1.0,11.0,8.6,100.0
Female,left,Expressions Confusion,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,2.0,6.4,80.0
Female,left,Expressions Contempt,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,10.0,9.4,80.0
Female,left,Expressions Desire,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,11.0,15.0,80.0
Female,left,Expressions Disgust,5,5,True,1.0,100.0,0.5655085052479191,1.0,16.0,13.8,100.0
Female,left,Expressions Excitement,5,5,True,1.0,100.0,0.5655085052479191,1.0,16.0,13.4,100.0
Female,left,Expressions Fear,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,8.0,100.0
Female,left,Expressions Happiness,5,5,True,1.0,100.0,0.5655085052479191,1.0,16.0,15.8,100.0
Female,left,Expressions Sadness,5,5,True,0.8,80.0,0.3755282641185388,0.9637768390302125,13.0,14.0,80.0
Female,left,Expressions Surprise,5,5,True,1.0,100.0,0.5655085052479191,1.0,16.0,22.6,100.0
Female,left,Eyeglasses,1,1,False,1.0,100.0,0.20654329147389294,1.0,81.0,81.0,100.0
Female,left,Fear,5,5,True,1.0,100.0,0.5655085052479191,1.0,17.0,25.6,100.0
Female,left,Fierce Cutthroat,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Female,left,Fierce Fiery,1,1,False,1.0,100.0,0.20654329147389294,1.0,10.0,10.0,100.0
Female,left,Fierce Savage,1,1,False,1.0,100.0,0.20654329147389294,1.0,14.0,14.0,100.0
Female,left,Happy,5,5,True,1.0,100.0,0.5655085052479191,1.0,9.0,9.2,100.0
Female,left,Happy Elated,1,1,False,1.0,100.0,0.20654329147389294,1.0,13.0,13.0,100.0
Female,left,Happy Perky,1,1,False,1.0,100.0,0.20654329147389294,1.0,16.0,16.0,100.0
Female,left,Happy So Peaceful,1,1,False,1.0,100.0,0.20654329147389294,1.0,37.0,37.0,100.0
Female,left,Humiliated,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Female,left,Insanity Deranged,1,1,False,1.0,100.0,0.20654329147389294,1.0,35.0,35.0,100.0
