expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
Pain,Female_Pain 01,98.0,86.0,86.0,118.0,141.0,141.0
Pain,Female_Pain 02,97.0,50.0,22.0,118.0,152.0,178.0
Pain,Female_Pain 03,99.0,98.0,92.0,117.0,127.0,127.0
Pain,Female_Pain 04,98.0,88.0,72.0,118.0,149.0,149.0
Pain,Female_Pain 05,98.0,86.0,86.0,120.0,135.0,142.0
Pain Illness,Female_Pain Illness,97.0,63.0,63.0,110.0,156.0,163.0
Playful,Female_Playful 01,97.0,93.0,86.0,116.0,130.0,130.0
Playful,Female_Playful 02,100.0,90.0,86.0,116.0,132.0,132.0
Playful,Female_Playful 03,99.0,100.0,98.0,119.0,123.0,127.0
Playful,Female_Playful 04,99.0,94.0,92.0,114.0,131.0,131.0
Playful,Female_Playful 05,97.0,98.0,96.0,117.0,117.0,123.0
Pleasure Oo So Funny,Female_Pleasure Oo So Funny,98.0,97.0,95.0,113.0,117.0,118.0
Romantic,Female_Romantic 01,95.0,84.0,81.0,118.0,125.0,141.0
Romantic,Female_Romantic 02,99.0,100.0,97.0,117.0,115.0,117.0
Romantic,Female_Romantic 03,97.0,96.0,96.0,117.0,135.0,137.0
Romantic,Female_Romantic 04,98.0,81.0,81.0,118.0,127.0,131.0
Romantic,Female_Romantic 05,98.0,100.0,97.0,116.0,114.0,116.0
S Wink,Female_S Wink 02,93.0,43.0,42.0,120.0,170.0,170.0
Sad,Female_Sad 01,98.0,100.0,95.0,117.0,116.0,119.0
Sad,Female_Sad 02,98.0,100.0,96.0,117.0,119.0,125.0
Sad,Female_Sad 03,96.0,96.0,81.0,119.0,154.0,161.0
Sad,Female_Sad 04,98.0,99.0,98.0,116.0,121.0,126.0
Sad,Female_Sad 05,99.0,96.0,96.0,117.0,111.0,118.0
Scream,Female_Scream,98.0,94.0,94.0,120.0,133.0,133.0
Seriousness,Female_Seriousness 01,99.0,102.0,100.0,117.0,111.0,115.0
Seriousness,Female_Seriousness 02,98.0,92.0,91.0,118.0,119.0,121.0
Seriousness,Female_Seriousness 03,98.0,100.0,98.0,116.0,107.0,119.0
Seriousness,Female_Seriousness 04,98.0,93.0,91.0,119.0,120.0,121.0
Seriousness,Female_Seriousness 05,99.0,84.0,83.0,118.0,119.0,120.0
Silly,Female_Silly 01,99.0,86.0,86.0,117.0,128.0,128.0
