folder,expression,A_left,C_left,B_left,A_left_detected,C_left_detected,B_left_detected,ordering_left,A_to_C_gap_left,C_to_B_gap_left,A_to_B_gap_left,A_reason_left,C_reason_left,B_reason_left,A_right,C_right,B_right,A_right_detected,C_right_detected,B_right_detected,ordering_right,A_to_C_gap_right,C_to_B_gap_right,A_to_B_gap_right,A_reason_right,C_reason_right,B_reason_right
Male_Joy 02,Joy,103.0,86.0,75.0,True,True,True,B<C<A,17.0,11.0,28.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,127.0,128.0,True,True,True,A<C<B,14.0,1.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Joy 03,Joy,97.0,21.0,21.0,True,True,True,C=B<A,76.0,0.0,76.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,153.0,155.0,True,True,True,A<C<B,36.0,2.0,38.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Joy 04,Joy,100.0,95.0,94.0,True,True,True,B<C<A,5.0,1.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,121.0,121.0,True,True,True,A<C=B,5.0,0.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Joy 05,Joy,99.0,86.0,76.0,True,True,True,B<C<A,13.0,10.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,121.0,122.0,True,True,True,A<C<B,4.0,1.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Judgemental 01,Judgemental,98.0,96.0,96.0,True,True,True,C=B<A,2.0,0.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,124.0,127.0,True,True,True,A<C<B,7.0,3.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Judgemental 02,Judgemental,100.0,91.0,89.0,True,True,True,B<C<A,9.0,2.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,112.0,114.0,True,True,True,C<A=B,2.0,2.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Judgemental 03,Judgemental,100.0,91.0,91.0,True,True,True,C=B<A,9.0,0.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,126.0,127.0,True,True,True,A<C<B,11.0,1.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Judgemental 04,Judgemental,101.0,98.0,97.0,True,True,True,B<C<A,3.0,1.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,121.0,124.0,True,True,True,A<C<B,7.0,3.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Judgemental 05,Judgemental,99.0,99.0,91.0,True,True,True,B<A=C,0.0,8.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,134.0,134.0,True,True,True,A<C=B,17.0,0.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Nervous,Nervous,101.0,94.0,92.0,True,True,True,B<C<A,7.0,2.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,119.0,119.0,True,True,True,A<C=B,4.0,0.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Pain 01,Pain,100.0,91.0,91.0,True,True,True,C=B<A,9.0,0.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,129.0,129.0,True,True,True,A<C=B,16.0,0.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Pain 02,Pain,105.0,62.0,62.0,True,True,True,C=B<A,43.0,0.0,43.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,110.0,136.0,150.0,True,True,True,A<C<B,26.0,14.0,40.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Pain 03,Pain,100.0,95.0,93.0,True,True,True,B<C<A,5.0,2.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,120.0,120.0,True,True,True,A<C=B,6.0,0.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Pain 04,Pain,100.0,67.0,67.0,True,True,True,C=B<A,33.0,0.0,33.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,139.0,140.0,True,True,True,A<C<B,25.0,1.0,26.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Pain 05,Pain,100.0,87.0,87.0,True,True,True,C=B<A,13.0,0.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,127.0,127.0,True,True,True,A<C=B,10.0,0.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Pain Illness,Pain Illness,100.0,88.0,88.0,True,True,True,C=B<A,12.0,0.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,152.0,152.0,True,True,True,A<C=B,44.0,0.0,44.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Playful 01,Playful,99.0,98.0,96.0,True,True,True,B<C<A,1.0,2.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,117.0,117.0,True,True,True,A<C=B,3.0,0.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Playful 02,Playful,101.0,92.0,92.0,True,True,True,C=B<A,9.0,0.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,130.0,137.0,True,True,True,A<C<B,17.0,7.0,24.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Playful 03,Playful,101.0,96.0,96.0,True,True,True,C=B<A,5.0,0.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,117.0,120.0,True,True,True,A<C<B,4.0,3.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Playful 04,Playful,102.0,95.0,94.0,True,True,True,B<C<A,7.0,1.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,119.0,120.0,True,True,True,A<C<B,6.0,1.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Playful 05,Playful,101.0,97.0,96.0,True,True,True,B<C<A,4.0,1.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,114.0,116.0,True,True,True,A=C<B,0.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
