folder,expression,direction,A_boundary,B_boundary,lead_deg
Male_Fear 01,Fear,left,0.0,0.0,0.0
Male_Fear 02,Fear,left,0.0,0.0,0.0
Male_Fear 03,Fear,left,0.0,0.0,0.0
Male_Fear 04,Fear,left,0.0,0.0,0.0
Male_Fear 05,Fear,left,0.0,0.0,0.0
Male_Fierce Cutthroat,Fierce Cutthroat,left,0.0,0.0,0.0
Male_Fierce Fiery,Fierce Fiery,left,0.0,0.0,0.0
Male_Fierce Savage,Fierce Savage,left,0.0,0.0,0.0
Male_Happy 01,Happy,left,0.0,0.0,0.0
Male_Happy 02,Happy,left,0.0,0.0,0.0
Male_Happy 03,Happy,left,0.0,0.0,0.0
Male_Happy 04,Happy,left,0.0,0.0,0.0
Male_Happy 05,Happy,left,0.0,0.0,0.0
Male_Happy Elated,Happy Elated,left,0.0,0.0,0.0
Male_Happy Perky,Happy Perky,left,0.0,0.0,0.0
Male_Happy So Peaceful,Happy So Peaceful,left,0.0,0.0,0.0
Male_Humiliated,Humiliated,left,0.0,0.0,0.0
Male_Insanity Deranged,Insanity Deranged,left,0.0,0.0,0.0
Male_Insanity Go Cucko,Insanity Go Cucko,left,0.0,0.0,0.0
Male_Insanity Going Crazy,Insanity Going Crazy,left,0.0,0.0,0.0
Male_Insanity Hostile,Insanity Hostile,left,0.0,0.0,0.0
Male_Insanity Lunatic,Insanity Lunatic,left,0.0,0.0,0.0
Male_Joy 01,Joy,left,0.0,0.0,0.0
Male_Joy 02,Joy,left,0.0,0.0,0.0
Male_Joy 03,Joy,left,0.0,0.0,0.0
Male_Joy 04,Joy,left,0.0,0.0,0.0
Male_Joy 05,Joy,left,0.0,0.0,0.0
Male_Judgemental 01,Judgemental,left,0.0,0.0,0.0
Male_Judgemental 02,Judgemental,left,0.0,0.0,0.0
Male_Judgemental 03,Judgemental,left,0.0,0.0,0.0
Male_Judgemental 04,Judgemental,left,0.0,0.0,0.0
Male_Judgemental 05,Judgemental,left,0.0,0.0,0.0
Male_Nervous,Nervous,left,0.0,0.0,0.0
Male_Pain 01,Pain,left,0.0,0.0,0.0
Male_Pain 02,Pain,left,0.0,0.0,0.0
Male_Pain 03,Pain,left,0.0,0.0,0.0
Male_Pain 04,Pain,left,0.0,0.0,0.0
Male_Pain 05,Pain,left,0.0,0.0,0.0
Male_Pain Illness,Pain Illness,left,0.0,0.0,0.0
Male_Playful 01,Playful,left,0.0,0.0,0.0
Male_Playful 02,Playful,left,0.0,0.0,0.0
Male_Playful 03,Playful,left,0.0,0.0,0.0
Male_Playful 04,Playful,left,0.0,0.0,0.0
Male_Playful 05,Playful,left,0.0,0.0,0.0
Male_Pleasure Oo So Funny,Pleasure Oo So Funny,left,0.0,0.0,0.0
Male_Romantic 01,Romantic,left,0.0,0.0,0.0
Male_Romantic 02,Romantic,left,0.0,0.0,0.0
Male_Romantic 03,Romantic,left,0.0,0.0,0.0
Male_Romantic 04,Romantic,left,0.0,0.0,0.0
Male_Romantic 05,Romantic,left,0.0,0.0,0.0
Male_S Wink 02,S Wink,left,0.0,0.0,0.0
Male_Sad 01,Sad,left,0.0,0.0,0.0
Male_Sad 02,Sad,left,0.0,0.0,0.0
Male_Sad 03,Sad,left,0.0,0.0,0.0
Male_Sad 04,Sad,left,0.0,0.0,0.0
Male_Sad 05,Sad,left,0.0,0.0,0.0
Male_Scream,Scream,left,0.0,0.0,0.0
Male_Seriousness 01,Seriousness,left,0.0,0.0,0.0
Male_Seriousness 02,Seriousness,left,0.0,0.0,0.0
Male_Seriousness 03,Seriousness,left,0.0,0.0,0.0
Male_Seriousness 04,Seriousness,left,0.0,0.0,0.0
Male_Seriousness 05,Seriousness,left,0.0,0.0,0.0
Male_Silly 01,Silly,left,0.0,0.0,0.0
Male_Silly 02,Silly,left,0.0,0.0,0.0
Male_Silly 03,Silly,left,0.0,0.0,0.0
Male_Silly 04,Silly,left,0.0,0.0,0.0
Male_Silly 05,Silly,left,0.0,0.0,0.0
Male_Sleepy,Sleepy,left,0.0,0.0,0.0
Male_Sleepy 01,Sleepy,left,0.0,0.0,0.0
Male_Sleepy 02,Sleepy,left,0.0,0.0,0.0
Male_Sleepy 03,Sleepy,left,0.0,0.0,0.0
Male_Sleepy 04,Sleepy,left,0.0,0.0,0.0
Male_Sleepy 05,Sleepy,left,0.0,0.0,0.0
Male_Straining,Straining,left,0.0,0.0,0.0
Male_Subtle 01,Subtle,left,0.0,0.0,0.0
Male_Subtle 02,Subtle,left,0.0,0.0,0.0
Male_Subtle 03,Subtle,left,0.0,0.0,0.0
Male_Subtle 04,Subtle,left,0.0,0.0,0.0
Male_Subtle 05,Subtle,left,0.0,0.0,0.0
Male_Talking 01,Talking,left,0.0,0.0,0.0
Male_Talking 02,Talking,left,0.0,0.0,0.0
Male_Talking 03,Talking,left,0.0,0.0,0.0
Male_Talking 04,Talking,left,0.0,0.0,0.0
Male_Talking 05,Talking,left,0.0,0.0,0.0
Male_Terror,Terror,left,0.0,0.0,0.0
Male_Terror Phobia,Terror Phobia,left,0.0,0.0,0.0
Male_Ulgh,Ulgh,left,0.0,0.0,0.0
Male_Wicked 01,Wicked,left,0.0,0.0,0.0
Male_Wicked 02,Wicked,left,0.0,0.0,0.0
Male_Wicked 03,Wicked,left,0.0,0.0,0.0
Male_Wicked 04,Wicked,left,0.0,0.0,0.0
Male_Wicked 05,Wicked,left,0.0,0.0,0.0
Male_Wink,Wink,left,0.0,0.0,0.0
Male_With Forehead Wrinkles Angry 01,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Male_With Forehead Wrinkles Angry 02,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Male_With Forehead Wrinkles Angry 03,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Male_With Forehead Wrinkles Angry 04,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
Male_With Forehead Wrinkles Angry 05,With Forehead Wrinkles Angry,left,0.0,0.0,0.0
