direction,abs_angle,cosine,angular,euclidean,path,rate,curvature,instability,B_accuracy,C_margin,N
left,74.0,0.35980277974376634,49.95518353392983,0.8434910379193148,6.436926971684784,0.10006081682806552,17.00710230903178,0.13534605496102808,0.04918032786885246,-0.038713678403537226,427
left,75.0,0.35882923628183944,49.915117598808344,0.8430051992034465,6.53698778851285,0.09755212518733335,16.964385480920498,0.14092587170123497,0.053864168618266976,-0.036554063092350125,427
left,76.0,0.3584248088561958,49.9130797196328,0.8430974396944605,6.634539913700182,0.09666561944283703,17.18449648407786,0.14145363905669933,0.03981264637002342,-0.03663036485466522,427
left,77.0,0.364186165204372,50.352946207729936,0.8500784110687934,6.73120553314302,0.09947853791909139,18.0919385280875,0.14842729731103016,0.04918032786885246,-0.037035988700473615,427
left,78.0,0.3627188810140802,50.258545958186204,0.8486593166056505,6.830684071062111,0.10087081492470634,16.887223171978512,0.1473375300089425,0.053864168618266976,-0.03786581601136183,427
left,79.0,0.3667813905229055,50.56874870639774,0.8535868935897702,6.9315548859868175,0.1093584557676762,17.01177473376944,0.16143347071680028,0.0468384074941452,-0.03973955851248891,427
left,80.0,0.3694756265546455,50.77693618488535,0.8569051017526721,7.040913341754494,0.11188130975816513,16.245452907649028,0.17060810170491908,0.04918032786885246,-0.040523865881792555,427
left,81.0,0.38046050937170167,51.571472578919746,0.8693269916943142,7.152794651512658,0.11300563290540731,15.1827647075611,0.16532688989223307,0.04215456674473068,-0.04331021377297699,427
left,82.0,0.3925192367276766,52.43496963179363,0.8827811376272375,7.265800284418066,0.10558742889371074,16.058903224532937,0.16568247270737654,0.03044496487119438,-0.047319938483227054,427
left,83.0,0.3998502631098102,52.96236393769954,0.8910152247694673,7.371387713311776,0.10073132754523804,16.400549914034404,0.15170641238223195,0.03044496487119438,-0.05181496030273706,427
left,84.0,0.4025877976585049,53.16854922721202,0.8942778371536201,7.472119040857015,0.09445316699579952,17.419043831114415,0.144701004464537,0.03981264637002342,-0.05358342774020425,427
left,85.0,0.4094393610675106,53.67450710537841,0.9022425862609363,7.566572207852814,0.10007769847397782,17.048695818988325,0.14027106156463645,0.02576112412177986,-0.05634683377569676,427
left,86.0,0.41125392509009295,53.822812055815575,0.9046474993926858,7.666649906326792,0.09408692164952917,17.264770888452833,0.1418297337738915,0.02810304449648712,-0.057149776251031306,427
left,87.0,0.41650024649689293,54.2043556463523,0.9106250296431906,7.760736827976321,0.10123652842689733,17.30966366369039,0.14188354514731177,0.02810304449648712,-0.06024283966359266,427
left,88.0,0.42282003359716447,54.659402708817424,0.9177305782148375,7.861973356403219,0.09525485618576512,16.658208537835414,0.13897684677144123,0.02107728337236534,-0.0633570478587854,427
left,89.0,0.42937474549514626,55.12856930592021,0.9250450550253553,7.9572282125889835,0.11642606584333424,16.21650489701206,0.15734601293012185,0.01405152224824356,-0.06776857417975432,427
left,90.0,0.43236760931216023,55.347662369596314,0.9284838048579821,8.073654278432318,0.11973834710426856,14.66265463578293,0.16631374604110138,0.01639344262295082,-0.0723500735447055,427
left,91.0,0.4335673952549347,55.42881413086795,0.9296952093792185,8.193392625536587,0.11974640406964814,15.543449130353954,0.18859838299994167,0.01873536299765808,-0.07394472961543036,427
left,92.0,0.4413840755366609,55.97382276119616,0.9381143128285643,8.313139029606235,0.15274320225246618,11.113095417586845,0.18174372950189285,0.01405152224824356,-0.07787385760900288,427
left,93.0,0.459482771870124,57.21048261298508,0.9570516379990678,8.4658822318587,0.13406873934965502,13.493417629427011,0.23211725035233016,0.0117096018735363,-0.08496544979495242,427
left,94.0,0.45962554774742215,57.2044298140729,0.9568549693328714,8.599950971208356,0.11327943722313964,13.111370553332662,0.17313597859068833,0.01405152224824356,-0.09305394128558228,427
left,95.0,0.4650368051171582,57.56886354933299,0.9623968150353264,8.713230408431496,0.1108200305100068,14.357155449793167,0.15668785085234208,0.0117096018735363,-0.09792654593180716,427
left,96.0,0.4703160730960498,57.93336311715548,0.9680049674851554,8.824050438941502,0.11345273645407143,13.624035130386462,0.15200189804653932,0.0117096018735363,-0.10494922230617783,427
left,97.0,0.47593094565550115,58.311447733180024,0.9737564121532217,8.937503175395573,0.11439280550429637,14.069152490814313,0.1625947622490711,0.0117096018735363,-0.11054988484611555,427
left,98.0,0.4811765532024571,58.66520033396379,0.9791452474281436,9.05189598089987,0.11832688218397056,13.274190160822918,0.15920325827542736,0.0117096018735363,-0.11672132299990509,427
left,99.0,0.4879562687259647,59.12481280288875,0.9861649595881513,9.17022286308384,0.11731142433800798,13.632909586072799,0.1658972540141827,0.00936768149882904,-0.1248944709535505,427
left,100.0,0.49246130977916497,59.42183735331551,0.990644807837886,9.287534287421849,0.1705401584645624,12.901849639884496,0.2274191940172774,0.00702576112412178,-0.13137335569294611,427
left,101.0,0.48972247802680774,59.237784026099035,0.9878407006241399,9.45807444588641,0.14538393987983952,11.942283671785203,0.24961912874524989,0.00936768149882904,-0.1365831659395745,427
left,102.0,0.4946829116874891,59.56563950478333,0.9927871928002852,9.60345838576625,0.14575773585736054,12.664663514523046,0.22784175758688455,0.00936768149882904,-0.14268152687951607,427
left,103.0,0.5029042728890859,60.11656090693954,1.0011583459181863,9.749216121623611,0.14668112469780362,11.888758183755291,0.21892244899231042,0.00936768149882904,-0.15049049593246513,427
